rank	name	count	mono_strict	mono_relaxed	t2t_consistency	quartet	markers
kingdom	Archaea	645	no	yes	1	0.997	186.0
kingdom	Bacteria	9087	no	yes	1	0.61	304.2
phylum	Acidobacteriota	39	no	yes	1	0.998	339.5
phylum	Actinobacteriota	1076	no	yes	1	0.999	328.6
phylum	Aerophobetota	2	no	yes	1	1	251.0
phylum	Altiarchaeota	5	yes	yes	1	1	150.6
phylum	Aquificota	16	yes	yes	1	1	308.1
phylum	Armatimonadota	7	no	yes	1	1	329.6
phylum	Asgardarchaeota	8	no	no	0.875	0.987	175.8
phylum	Bacteroidota	887	no	yes	1	0.997	324.4
phylum	Bdellovibrionota	39	no	no	0.974	1	305.7
phylum	Bipolaricaulota	8	yes	yes	1	1	244.3
phylum	Caldisericota	2	yes	yes	1	1	240.0
phylum	Calditrichota	2	yes	yes	1	1	327.5
phylum	Calescibacterota	3	no	yes	1	1	271.7
phylum	Campylobacterota	112	no	yes	1	1	309.6
phylum	Chloroflexota	90	no	yes	1	0.993	286.2
phylum	Chrysiogenetota	2	yes	yes	1	1	349.0
phylum	Cloacimonadota	6	no	yes	1	1	247.3
phylum	Coprothermobacterota	2	no	yes	1	1	268.5
phylum	Crenarchaeota	233	no	no	0.996	0.999	168.2
phylum	Cyanobacteriota	311	no	yes	1	0.999	333.5
phylum	Deferribacterota	7	yes	yes	1	1	344.0
phylum	Deinococcota	41	yes	yes	1	1	350.4
phylum	Dependentiae	18	no	yes	1	1	162.1
phylum	Desulfobacterota	146	no	no	0.877	0.996	334.2
phylum	Desulfuromonadota	24	no	yes	1	1	351.9
phylum	Dictyoglomota	2	yes	yes	1	1	304.5
phylum	Elusimicrobiota	27	no	yes	1	1	283.0
phylum	Euryarchaeota	100	no	no	0.535	0.948	177.0
phylum	Fibrobacterota	26	yes	yes	1	1	309.0
phylum	Firmicutes	1168	no	yes	1	0.999	318.5
phylum	Firmicutes_A	641	no	yes	1	0.998	315.4
phylum	Firmicutes_B	66	no	yes	1	1	337.0
phylum	Firmicutes_C	73	yes	yes	1	1	331.0
phylum	Firmicutes_D	4	yes	yes	1	1	320.3
phylum	Firmicutes_E	4	yes	yes	1	1	347.5
phylum	Firmicutes_F	17	yes	yes	1	1	335.7
phylum	Firmicutes_G	9	yes	yes	1	1	293.3
phylum	Fusobacteriota	36	yes	yes	1	1	300.6
phylum	GWC2-55-46	16	no	yes	1	1	302.0
phylum	Gemmatimonadota	5	no	yes	1	0.999	332.4
phylum	Halobacterota	241	no	yes	1	0.999	212.7
phylum	Hydrogenedentota	3	yes	yes	1	1	257.0
phylum	KSB1	2	no	yes	1	1	308.5
phylum	Margulisbacteria	26	no	yes	1	1	284.8
phylum	Marinisomatota	12	no	yes	1	0.999	240.9
phylum	Methylomirabilota	2	no	yes	1	1	288.5
phylum	Micrarchaeota	4	no	no	0.5	0.92	124.3
