G000005825	RS_GCF_000005825.2
G000006175	RS_GCF_000006175.1
G000006605	RS_GCF_000006605.1
G000006725	RS_GCF_000006725.1
G000006745	RS_GCF_000006745.1
G000006785	RS_GCF_000006785.2
G000006845	RS_GCF_000006845.1
G000006865	RS_GCF_000006865.1
G000006925	RS_GCF_000006925.2
G000006965	RS_GCF_000006965.1
G000006985	RS_GCF_000006985.1
G000007005	RS_GCF_000007005.1
G000007025	RS_GCF_000007025.1
G000007085	RS_GCF_000007085.1
G000007105	RS_GCF_000007105.1
G000007145	RS_GCF_000007145.1
G000007185	GB_GCA_000007185.1
G000007205	RS_GCF_000007205.1
G000007225	GB_GCA_000007225.1
G000007265	RS_GCF_000007265.1
G000007305	RS_GCF_000007305.1
G000007325	RS_GCF_000007325.1
G000007345	RS_GCF_000007345.1
G000007365	RS_GCF_000007365.1
G000007385	GB_GCA_000007385.1
G000007465	RS_GCF_000007465.2
G000007485	RS_GCF_000007485.1
G000007525	RS_GCF_000007525.1
G000007565	RS_GCF_000007565.2
G000007605	RS_GCF_000007605.1
G000007625	RS_GCF_000007625.1
G000007645	RS_GCF_000007645.1
G000007705	RS_GCF_000007705.1
G000007725	RS_GCF_000007725.1
G000007745	RS_GCF_000007745.1
G000007765	RS_GCF_000007765.2
G000007785	RS_GCF_000007785.1
G000007805	RS_GCF_000007805.1
G000007825	RS_GCF_000007825.1
G000007845	RS_GCF_000007845.1
G000007865	RS_GCF_000007865.1
G000007905	RS_GCF_000007905.1
G000007925	RS_GCF_000007925.1
G000007945	RS_GCF_000007945.1
G000007985	RS_GCF_000007985.2
G000008025	RS_GCF_000008025.1
G000008045	RS_GCF_000008045.1
G000008165	RS_GCF_000008165.1
G000008185	RS_GCF_000008185.1
G000008265	RS_GCF_000008265.1
G000008325	RS_GCF_000008325.1
G000008345	RS_GCF_000008345.1
G000008385	RS_GCF_000008385.1
G000008465	RS_GCF_000008465.1
G000008505	RS_GCF_000008505.1
G000008525	RS_GCF_000008525.1
G000008545	RS_GCF_000008545.1
G000008565	RS_GCF_000008565.1
G000008605	GB_GCA_000008605.1
G000008625	RS_GCF_000008625.1
G000008645	RS_GCF_000008645.1
G000008665	RS_GCF_000008665.1
G000008685	RS_GCF_000008685.2
G000008725	RS_GCF_000008725.1
G000008745	RS_GCF_000008745.1
G000008765	RS_GCF_000008765.1
G000008805	RS_GCF_000008805.1
G000008865	RS_GCF_000008865.1
G000008885	RS_GCF_000008885.1
G000008925	RS_GCF_000008925.1
G000009025	RS_GCF_000009025.1
G000009065	RS_GCF_000009065.1
G000009125	RS_GCF_000009125.1
G000009145	RS_GCF_000009145.1
G000009185	RS_GCF_000009185.1
G000009205	RS_GCF_000009205.1
G000009245	RS_GCF_000009245.1
G000009305	RS_GCF_000009305.1
G000009345	RS_GCF_000009345.1
G000009365	RS_GCF_000009365.1
G000009545	RS_GCF_000009545.1
G000009705	RS_GCF_000009705.1
G000009725	RS_GCF_000009725.1
G000009745	RS_GCF_000009745.1
G000009765	RS_GCF_000009765.2
G000009825	RS_GCF_000009825.1
G000009845	RS_GCF_000009845.1
G000009865	RS_GCF_000009865.1
G000009905	RS_GCF_000009905.1
G000009925	RS_GCF_000009925.1
G000009945	RS_GCF_000009945.1
G000009965	RS_GCF_000009965.1
G000009985	RS_GCF_000009985.1
G000010065	RS_GCF_000010065.1
G000010085	RS_GCF_000010085.1
G000010125	RS_GCF_000010125.1
G000010145	RS_GCF_000010145.1
G000010165	RS_GCF_000010165.1
G000010185	RS_GCF_000010185.1
G000010205	RS_GCF_000010205.1
G000010285	RS_GCF_000010285.1
G000010305	RS_GCF_000010305.1
G000010325	RS_GCF_000010325.1
G000010345	RS_GCF_000010345.1
G000010405	RS_GCF_000010405.1
G000010425	RS_GCF_000010425.1
G000010505	RS_GCF_000010505.1
G000010525	RS_GCF_000010525.1
G000010565	GB_GCA_000010565.1
G000010585	RS_GCF_000010585.1
G000010605	RS_GCF_000010605.1
G000010625	RS_GCF_000010625.1
G000010645	RS_GCF_000010645.1
G000010665	RS_GCF_000010665.1
G000010785	RS_GCF_000010785.1
G000010825	RS_GCF_000010825.1
G000010985	RS_GCF_000010985.1
G000011005	GB_GCA_000011005.1
G000011025	RS_GCF_000011025.1
