	kingdom	phylum	class	order	family	genus	species
N1							
N2	Archaea						
N3	Bacteria						
N4	Archaea						
N5	Archaea						
N6	Bacteria						
N7	Bacteria						
N8	Archaea						
N9	Archaea						
N10	Archaea						
N12	Bacteria						
N13	Bacteria						
N14	Bacteria						
N15	Archaea						
N16	Archaea						
N17	Archaea	Candidatus Micrarchaeota					
N18	Archaea	Euryarchaeota_1					
N19	Bacteria						
N20	Bacteria						
N21	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae		
N22	Bacteria						
N25	Archaea						
N26	Archaea						
N27	Archaea	Euryarchaeota_2					
N28	Archaea						
N29	Archaea	Euryarchaeota_1					
N31	Bacteria						
N32	Bacteria						
N33	Bacteria						
N34	Bacteria						
N35	Bacteria	Dictyoglomi	Dictyoglomia	Dictyoglomales	Dictyoglomaceae	Dictyoglomus	
N36	Bacteria						
N37	Bacteria	Thermotogae	Thermotogae				
N38	Bacteria						
N39	Bacteria						
N40	Bacteria	Candidatus Atribacteria					
N41	Bacteria						
N43	Archaea	Candidatus Thorarchaeota					
N44	Archaea	Euryarchaeota_2	Hadesarchaea				
N45	Archaea	Euryarchaeota_2	Thermococci	Thermococcales			
N46	Archaea						
N48	Archaea	Euryarchaeota_1		Candidatus Altiarchaeales			
N49	Archaea	Euryarchaeota_1					
N50	Archaea	Euryarchaeota_1					
N51	Archaea	Euryarchaeota_1					
N52	Bacteria						
N53	Bacteria						
N54	Bacteria	candidate division WWE3					
N55	Bacteria						
N56	Bacteria	Candidatus Peregrinibacteria					
N58	Bacteria						
N59	Bacteria	Caldiserica	Caldisericia	Caldisericales	Caldisericaceae	Caldisericum	
N60	Bacteria	Firmicutes_10	Clostridia_12	Thermoanaerobacterales_4	Thermodesulfobiaceae	Coprothermobacter	
N61	Bacteria	Thermotogae	Thermotogae				
N62	Bacteria						
N64	Bacteria	Candidatus Atribacteria					
N65	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales			
N66	Bacteria						
N67	Archaea	Candidatus Thorarchaeota					
N68	Archaea	Euryarchaeota_2	Thermococci	Thermococcales			
N69	Archaea	Euryarchaeota_2	Thermococci	Thermococcales	Thermococcaceae		
N70	Archaea	Candidatus Bathyarchaeota					
N71	Archaea	Thaumarchaeota					
N72	Archaea	Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales			
N73	Archaea						
N74	Archaea	Euryarchaeota_1		Candidatus Altiarchaeales			
N75	Archaea	Euryarchaeota_1					
N76	Archaea	Euryarchaeota_1					
N77	Archaea	Euryarchaeota_1	Thermoplasmata				
N79	Archaea	Euryarchaeota_1					
N80	Bacteria						
N81	Bacteria	candidate division WWE3					
N82	Bacteria	candidate division WWE3					
N83	Bacteria						
N84	Bacteria						
N85	Bacteria	Candidatus Peregrinibacteria					
N86	Bacteria	Candidatus Peregrinibacteria	Candidatus Peribacteria				
N87	Bacteria						
N89	Bacteria	Candidatus Andersenbacteria					
N91	Bacteria	Firmicutes_10	Clostridia_12	Thermoanaerobacterales_4	Thermodesulfobiaceae	Coprothermobacter	
N92	Bacteria	Thermotogae	Thermotogae				
N93	Bacteria	Thermotogae	Thermotogae	Thermotogales			
N94	Bacteria						
N95	Bacteria	Synergistetes	Synergistia	Synergistales			
N96	Bacteria						
N98	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae		
N99	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae		
N100	Bacteria	Candidatus Aerophobetes					
N101	Bacteria						
N102	Archaea	Euryarchaeota_2	Thermococci	Thermococcales			
N103	Archaea	Euryarchaeota_2	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_2	
N104	Archaea	Euryarchaeota_2	Thermococci	Thermococcales	Thermococcaceae		
N105	Archaea	Candidatus Bathyarchaeota					
N106	Archaea	Candidatus Bathyarchaeota					
N107	Archaea	Thaumarchaeota					
N108	Archaea	Candidatus Verstraetearchaeota	Candidatus Methanomethylia	Candidatus Methanomethyliales	Candidatus Methanomethyliaceae		
N109	Archaea						
N110	Archaea						
