#node	kingdom	phylum	class	order	family	genus	species
N1							
N2	2157						
N3	2						
N4	2157						
N5	2157						
N6	2						
N7	2						
N8	2157						
N9	2157						
N10	2157						
N12	2						
N13	2						
N14	2						
N15	2157						
N16	2157						
N17	2157	1801631					
N18	2157	28890					
N19	2						
N20	2						
N21	2	68297	203486	203487	203488		
N22	2						
N25	2157						
N26	2157						
N27	2157	28890					
N28	2157						
N29	2157	28890					
N31	2						
N32	2						
N33	2						
N34	2						
N35	2	68297	203486	203487	203488	13	
N36	2						
N37	2	200918	188708				
N38	2						
N39	2						
N40	2	67818					
N41	2						
N43	2157	1706441					
N44	2157	28890	1775750				
N45	2157	28890	183968	2258			
N46	2157						
N48	2157	28890		1803511			
N49	2157	28890					
N50	2157	28890					
N51	2157	28890					
N52	2						
N53	2						
N54	2	422282					
N55	2						
N56	2	1619053					
N58	2						
N59	2	67814	693071	693072	693073	693074	
N60	2	1239	186801	68295	227387	68335	
N61	2	200918	188708				
N62	2						
N64	2	67818					
N65	2	32066	203490	203491			
N66	2						
N67	2157	1706441					
N68	2157	28890	183968	2258			
N69	2157	28890	183968	2258	2259		
N70	2157	928852					
N71	2157	651137					
N72	2157	1915410	1915413	1915414			
N73	2157						
N74	2157	28890		1803511			
N75	2157	28890					
N76	2157	28890					
N77	2157	28890	183967				
N79	2157	28890					
N80	2						
N81	2	422282					
N82	2	422282					
N83	2						
N84	2						
N85	2	1619053					
N86	2	1619053	1801911				
N87	2						
N89	2	1817901					
N91	2	1239	186801	68295	227387	68335	
N92	2	200918	188708				
N93	2	200918	188708	2419			
N94	2						
N95	2	508458	649775	649776			
N96	2						
N98	2	32066	203490	203491	1129771		
N99	2	32066	203490	203491	203492		
N100	2	1052815					
N101	2						
N102	2157	28890	183968	2258			
N103	2157	28890	183968	2258	2259	2263	
N104	2157	28890	183968	2258	2259		
N105	2157	928852					
N106	2157	928852					
N107	2157	651137					
N108	2157	1915410	1915413	1915414	1915415		
N109	2157						
N110	2157						
N111	2157	28890		1803511			
N112	2157	28890					
N113	2157	28890					
N114	2157	28890					
N115	2157	28890	183967				
N116	2157	28890	183967	1235850			
N117	2157	28890	183963				
N118	2157	28890					
N119	2157	28890	224756				
N120	2						
N121	2	422282					
N122	2	422282					
N123	2	422282					
N124	2	1618340					
N125	2	1817899					
N126	2						
N127	2	1619053					
N128	2	1619053					
N129	2	1619053	1801911				
N130	2	1619053	1801911				
N131	2	1618330					
N132	2						
N133	2						
N134	2	95818					
N135	2	1817901					
N136	2	1817901					
N137	2						
N138	2						
N139	2	200918	188708	1643946	1643948		
N140	2	200918	188708	1643947			
N141	2	200918	188708	2419	1643950		
N142	2	200918	188708	2419	188709		
N143	2	67810					
N144	2	508458	649775	649776			
N145	2						
N146	2						
N148	2	32066	203490	203491	1129771		
N149	2	32066	203490	203491	1129771		
N150	2	32066	203490	203491	203492		
N151	2	32066	203490	203491	203492	848	
N152	2	1052815					
N153	2	203691	203692				
N154	2						
N155	2157	28890	183968	2258			
N156	2157	28890	183968	2258			
N157	2157	28890	183968	2258	2259	2263	
N159	2157	28890	183968	2258	2259	2260	
N160	2157	28890	183968	2258	2259		
N161	2157	928852					
N163	2157	651137	1643678	1033996	1033997		
N164	2157	651137					
N165	2157	1915410	1915413	1915414	1915415	1915411	
N166	2157						
N167	2157	28889					
N168	2157	28890		1803511			
N169	2157	28890	183939	2182			
N170	2157	28890	183925	2158			
N171	2157	28890					
N172	2157	28890	183967			379546	
N173	2157	28890	183967	2301			
N174	2157	28890	183967	1235850			
N175	2157	28890	183967	1235850			
N176	2157	28890	183963	2235	2236		
N177	2157	28890	183963				
N178	2157	28890					
N179	2157	28890	183980	2231			
N180	2157	28890	224756	2191			
N181	2157	28890	224756				
N182	2						
N183	2						
N184	2	422282					
N185	2	422282					
N186	2	422282					
N187	2	1618340					
N188	2	1817899					
N189	2	1817899					
N190	2						
N191	2						
N193	2	1619053					
N194	2	1619053	1801911				
N195	2	1619053	1801911				
N196	2	1619053	1801911				
N197	2	1618330					
N198	2	1618330					
N199	2						
N200	2						
N201	2	1618339					
N202	2	95818					
N203	2	95818					
N204	2	1817901					
N205	2	1817901					
N206	2	1817799					
N207	2						
N208	2	1752737					
N209	2						
N210	2	200918	188708	1643946	1643948		
N211	2	200918	188708	1643946	1643948	651456	
N212	2	200918	188708	1643947		160798	
N213	2	200918	188708	1643947		28236	
N214	2	200918	188708	2419	1643950	2420	
N215	2	200918	188708	2419	1643950	2422	
N216	2	200918	188708	2419	188709	1643951	
N217	2	200918	188708	2419	188709	2335	
N218	2	67810					
N219	2	67810					
N220	2	508458	649775	649776			
N221	2	508458	649775	649776	649777		
N222	2						
N223	2						
N224	2	1117					
N225	2						
N226	2						
N227	2	32066	203490	203491	1129771	32067	
N228	2	32066	203490	203491	1129771		
N229	2	32066	203490	203491	1129771	34104	
N230	2	32066	203490	203491	203492	848	
N231	2	32066	203490	203491	203492	848	
N232	2	203691	203692				
N233	2	203691	203692				
N234	2						
N236	2157	28890	183968	2258			
N237	2157	28890	183968	2258	2259	2263	
N238	2157	28890	183968	2258	2259	2263	
N239	2157	28890	183968	2258	2259	2260	
N240	2157	28890	183968	2258	2259	2263	
N241	2157	928852					
N242	2157	928852					
N244	2157	651137	1643678	1033996	1033997	1826864	
N245	2157	651137	1643678	1033996	1033997		
N246	2157	651137					
N247	2157	651137					
N248	2157	1915410	1915413	1915414	1915415	1915411	1867258
N249	2157	28889					
N250	2157	28889	183924				
N251	2157	28890	183939	2182	196117	196118	
N252	2157	28890	183939	2182			
N253	2157	28890	183925	2158	2159		
N254	2157	28890					
N255	2157	28890	183967			379546	
N256	2157	28890	183967	2301			
N258	2157	28890	183967	1235850			
N259	2157	28890	183963	2235	2236		
N260	2157	28890	183963	2235	2236		
N261	2157	28890	183963				
N263	2157	28890	183980	2231	2232		
N264	2157	28890	224756	2191			
N265	2157	28890	224756	2191			
N266	2157	28890	224756	94695		1912923	
N267	2157	28890	224756				
N268	2						
N269	2	422282					
N270	2	422282					
N271	2	1817899					
N272	2	1817899					
N273	2	1752717					
N274	2	1752718					
N275	2						
N276	2						
N277	2	1619053					
N278	2	1619053					
N279	2	1619053					
N280	2	1619053	1801911				
N281	2	1619053	1801911				
N282	2	1619053	1801911				
N283	2	1619053	1801911				
N285	2	1618330					
N286	2	1618330					
N287	2						
N288	2						
N289	2						
N290	2	1618339					
N291	2	1618339					
N292	2	95818					
N293	2	95818					
N294	2	1817901					
N295	2	1817901					
N296	2	1817799					
N297	2						
N298	2	1752737					
N299	2	1752737					
N300	2						
N302	2	200918	188708	1643947		28236	
N303	2	200918	188708	2419	1643950	2422	
N304	2	200918	188708	2419	188709	1643951	
N306	2	200918	188708	2419	188709	2335	
N307	2	200918	188708	2419	188709	2335	
N308	2	67810					
N309	2	67810					
N310	2	508458	649775	649776	649777		
N311	2	508458	649775	649776	649777		
N312	2						
N313	2						
N314	2						
N315	2						
N316	2	1117	307596	307595	1890422	33071	
N317	2	1117					
N319	2						
N320	2	1239	186801	186802			
N321	2						
N322	2	32066	203490	203491	1129771	32067	
N323	2	32066	203490	203491	1129771	32067	
N324	2	32066	203490	203491	1129771		
N325	2	32066	203490	203491	1129771	34104	
N326	2	32066	203490	203491	203492	848	
N327	2	32066	203490	203491	203492	848	
N328	2	203691	203692		170		
N329	2	203691	203692	1643686	143786		
N330	2	203691	203692	136			
N331	2						
N332	2						
N334	2157	28890	183968	2258	2259	2263	55802
N335	2157	28890	183968	2258	2259	2263	
N336	2157	28890	183968	2258	2259	2263	
N337	2157	28890	183968	2258	2259	2260	2261
N339	2157	28890	183968	2258	2259	2263	
N340	2157	28890	183968	2258	2259	2263	
N341	2157	928852					
N342	2157	928852					
N343	2157	928852					
N344	2157	928852					
N345	2157	651137	1643678	1033996	1033997	497726	
N346	2157	651137	1643678	1033996	1033997		
N347	2157	651137					
N348	2157	651137				1825023	
N349	2157	651137					
N350	2157	28889					
N351	2157	28889	183924	2266	114378	2268	
N353	2157	28890	183939	2182	196117	196118	
