rank	name	taxid	count	mono_strict	mono_relaxed	consistency	quartet	markers
kingdom	Archaea	2157	669	yes	yes	1	1	185.0
kingdom	Bacteria	2	9906	yes	yes	1	1	293.0
phylum	Acidobacteria	57723	56	no	no	0.965	0.97	296.4
phylum	Actinobacteria	201174	1097	no	no	0.994	0.998	326.2
phylum	Aquificae	200783	17	no	no	0.941	1	308.9
phylum	Armatimonadetes	67819	9	no	no	0.889	1	304.6
phylum	Bacteroidetes	976	834	no	no	0.993	0.997	322.9
phylum	Balneolaeota	1936987	4	no	no	0.75	1	340.3
phylum	Caldiserica	67814	2	yes	yes	1	1	240.0
phylum	Calditrichaeota	1930617	2	yes	yes	1	1	327.5
phylum	Candidatus Acetothermia	67810	7	yes	yes	1	1	241.7
phylum	Candidatus Adlerbacteria	1752736	5	yes	yes	1	1	133.4
phylum	Candidatus Aerophobetes	1052815	3	yes	yes	1	1	228.0
phylum	Candidatus Amesbacteria	1752730	30	no	yes	1	1	128.8
phylum	Candidatus Aminicenantes	67817	8	yes	yes	1	1	204.0
phylum	Candidatus Andersenbacteria	1817901	8	no	yes	1	1	151.0
phylum	Candidatus Atribacteria	67818	4	no	no	0.75	0.68	206.0
phylum	Candidatus Azambacteria	1752741	23	no	no	0.783	0.971	128.8
phylum	Candidatus Bathyarchaeota	928852	14	no	no	0.778	0.999	145.6
phylum	Candidatus Beckwithbacteria	1752726	14	yes	yes	1	1	155.7
phylum	Candidatus Berkelbacteria	1618330	8	yes	yes	1	1	132.5
phylum	Candidatus Blackburnbacteria	1817898	7	yes	yes	1	1	127.4
phylum	Candidatus Buchananbacteria	1817903	10	no	no	0.8	0.999	137.9
phylum	Candidatus Calescamantes	1052197	7	no	yes	1	1	243.4
phylum	Candidatus Chisholmbacteria	1817900	4	yes	yes	1	1	156.5
phylum	Candidatus Cloacimonetes	456828	10	yes	yes	1	1	199.1
phylum	Candidatus Collierbacteria	1752725	30	no	no	0.968	0.999	135.6
phylum	Candidatus Colwellbacteria	1817904	7	no	yes	1	1	128.7
phylum	Candidatus Curtissbacteria	1752717	17	no	no	0.944	1	139.8
phylum	Candidatus Dadabacteria	1752716	2	yes	yes	1	1	270.5
phylum	Candidatus Daviesbacteria	1752718	36	yes	yes	1	1	143.6
phylum	Candidatus Doudnabacteria	1817799	19	yes	yes	1	1	154.8
phylum	Candidatus Falkowbacteria	1752728	23	no	no	0.739	0.997	161.2
phylum	Candidatus Fervidibacteria	1383058	3	yes	yes	1	1	155.7
phylum	Candidatus Giovannonibacteria	1752738	46	no	no	0.958	0.999	140.2
phylum	Candidatus Glassbacteria	1817805	3	yes	yes	1	1	251.0
phylum	Candidatus Gottesmanbacteria	1752720	23	no	no	0.957	0.998	170.5
phylum	Candidatus Harrisonbacteria	1817905	9	no	no	0.778	1	131.3
phylum	Candidatus Hydrogenedentes	142187	5	yes	yes	1	1	217.0
phylum	Candidatus Jacksonbacteria	1817906	8	no	yes	1	0.999	176.6
phylum	Candidatus Jorgensenbacteria	1752739	8	yes	yes	1	1	124.6
phylum	Candidatus Kaiserbacteria	1752734	48	no	no	0.81	0.997	144.4
phylum	Candidatus Kerfeldbacteria	1817907	4	yes	yes	1	1	172.0
phylum	Candidatus Komeilibacteria	1817908	8	no	no	0.875	0.991	154.6
phylum	Candidatus Kryptonia	1855361	21	yes	yes	1	1	276.8
phylum	Candidatus Kuenenbacteria	1752740	6	yes	yes	1	1	130.3
phylum	Candidatus Latescibacteria	74015	2	yes	yes	1	1	200.0
phylum	Candidatus Levybacteria	1752719	37	yes	yes	1	1	141.3
phylum	Candidatus Liptonbacteria	1817909	10	no	no	0.727	0.999	127.5
phylum	Candidatus Llyodbacteria	1817910	12	no	no	0.833	0.999	163.3
phylum	Candidatus Magasanikbacteria	1752731	45	no	no	0.978	1	163.8
phylum	Candidatus Marinimicrobia	62680	18	no	no	0.944	0.929	219.6
phylum	Candidatus Micrarchaeota	1801631	2	yes	yes	1	1	125.0
phylum	Candidatus Microgenomates	67820	5	no	no	0.2	0.948	135.2
