name	taxa	splits	postlevels	prelevels
N1	10575	10574	67	1
N2	669	668	35	2
N3	9906	9905	66	2
N4	4	3	3	3
N5	665	664	34	3
N6	1454	1453	42	3
N7	8452	8451	65	3
N8	2	1	2	4
N9	2	1	2	4
N10	297	296	33	4
N11	368	367	31	4
G001873755	1	0	1	4
N12	1453	1452	41	4
N13	43	42	13	4
N14	8409	8408	64	4
G000830275	1	0	1	5
G000402355	1	0	1	5
G000830295	1	0	1	5
G001871415	1	0	1	5
N15	7	6	5	5
N16	290	289	32	5
N17	2	1	2	5
N18	366	365	30	5
N19	504	503	27	5
N20	949	948	40	5
N21	3	2	3	5
N22	40	39	12	5
N23	3708	3707	49	5
N24	4701	4700	63	5
N25	3	2	3	6
N26	4	3	4	6
N27	48	47	12	6
N28	242	241	31	6
G001871535	1	0	1	6
G001871475	1	0	1	6
N29	60	59	16	6
N30	306	305	29	6
N31	13	12	11	6
N32	491	490	26	6
N33	61	60	15	6
N34	888	887	39	6
G000212395	1	0	1	6
N35	2	1	2	6
N36	5	4	4	6
N37	35	34	11	6
N38	2	1	2	6
N39	3706	3705	48	6
N40	3	2	3	6
N41	4698	4697	62	6
G001940645	1	0	1	7
N42	2	1	2	7
G001940655	1	0	1	7
N43	3	2	3	7
N44	2	1	2	7
N45	46	45	11	7
N46	70	69	17	7
N47	172	171	30	7
N48	5	4	5	7
N49	55	54	15	7
N50	55	54	14	7
N51	251	250	28	7
N52	2	1	2	7
N53	11	10	10	7
N54	64	63	22	7
N55	427	426	25	7
G001773455	1	0	1	7
N56	60	59	14	7
N57	42	41	11	7
N58	846	845	38	7
G000021645	1	0	1	7
G000020965	1	0	1	7
N59	2	1	2	7
N60	3	2	3	7
G000745455	1	0	1	7
N61	34	33	10	7
G001791795	1	0	1	7
G001872985	1	0	1	7
N62	40	39	12	7
N63	3666	3665	47	7
G001509285	1	0	1	7
N64	2	1	2	7
N65	36	35	11	7
N66	4662	4661	61	7
G001940755	1	0	1	8
G001940725	1	0	1	8
G001563325	1	0	1	8
N67	2	1	2	8
G001515215	1	0	1	8
G001515205	1	0	1	8
N68	8	7	6	8
N69	38	37	10	8
N70	23	22	11	8
N71	47	46	16	8
N72	5	4	5	8
N73	167	166	29	8
G001873845	1	0	1	8
N74	4	3	4	8
G000007185	1	0	1	8
N75	54	53	14	8
N76	15	14	10	8
N77	40	39	13	8
N78	106	105	19	8
N79	145	144	27	8
G001567355	1	0	1	8
G001567305	1	0	1	8
G000993565	1	0	1	8
N80	10	9	9	8
N81	3	2	3	8
N82	61	60	21	8
N83	4	3	4	8
N84	423	422	24	8
N85	24	23	11	8
N86	36	35	13	8
N87	16	15	7	8
N88	26	25	10	8
N89	9	8	6	8
N90	837	836	37	8
G001871575	1	0	1	8
G000284335	1	0	1	8
G000378005	1	0	1	8
N91	2	1	2	8
N92	11	10	6	8
N93	23	22	9	8
N94	8	7	6	8
N95	32	31	11	8
N96	350	349	34	8
N97	3316	3315	46	8
G000402235	1	0	1	8
G000405325	1	0	1	8
N98	15	14	7	8
N99	21	20	10	8
N100	3	2	3	8
N101	4659	4658	60	8
G001563335	1	0	1	9
G001940705	1	0	1	9
G001587675	1	0	1	9
N102	7	6	5	9
N103	13	12	7	9
N104	25	24	9	9
N105	4	3	4	9
N106	19	18	10	9
G001830115	1	0	1	9
N107	46	45	15	9
G001940665	1	0	1	9
N108	4	3	4	9
N109	3	2	3	9
N110	164	163	28	9
G001742785	1	0	1	9
N111	3	2	3	9
G002011125	1	0	1	9
N112	53	52	13	9
N113	2	1	2	9
N114	13	12	9	9
N115	18	17	9	9
N116	22	21	12	9
G001914405	1	0	1	9
N117	105	104	18	9
N118	23	22	10	9
N119	122	121	26	9
G000991265	1	0	1	9
N120	9	8	8	9
G001772955	1	0	1	9
N121	2	1	2	9
N122	3	2	3	9
N123	58	57	20	9
G001871995	1	0	1	9
N124	3	2	3	9
N125	10	9	7	9
N126	413	412	23	9
N127	2	1	2	9
N128	22	21	10	9
N129	9	8	8	9
N130	27	26	12	9
N131	8	7	6	9
N132	8	7	5	9
N133	8	7	5	9
N134	18	17	9	9
N135	4	3	4	9
N136	5	4	5	9
N137	216	215	25	9
N138	621	620	36	9
G001896705	1	0	1	9
G000020945	1	0	1	9
N139	4	3	3	9
N140	7	6	5	9
N141	5	4	4	9
N142	18	17	8	9
G001778455	1	0	1	9
N143	7	6	5	9
G000347575	1	0	1	9
N144	31	30	10	9
N145	27	26	9	9
N146	323	322	33	9
G001724515	1	0	1	9
N147	3315	3314	45	9
N148	7	6	5	9
N149	8	7	6	9
N150	2	1	2	9
N151	19	18	9	9
G000402295	1	0	1	9
N152	2	1	2	9
N153	135	134	16	9
N154	4524	4523	59	9
N155	3	2	3	10
N156	4	3	4	10
N157	2	1	2	10
N158	11	10	6	10
N159	9	8	6	10
N160	16	15	8	10
G001774245	1	0	1	10
N161	3	2	3	10
G001593865	1	0	1	10
N162	18	17	9	10
N163	7	6	5	10
N164	39	38	14	10
G001717015	1	0	1	10
N165	3	2	3	10
G002011075	1	0	1	10
N166	2	1	2	10
G000019605	1	0	1	10
N167	163	162	27	10
G001723845	1	0	1	10
N168	2	1	2	10
N169	19	18	9	10
N170	34	33	12	10
G001875345	1	0	1	10
G001875425	1	0	1	10
G000246735	1	0	1	10
N171	12	11	8	10
N172	3	2	3	10
N173	15	14	8	10
N174	2	1	2	10
N175	20	19	11	10
N176	6	5	5	10
N177	99	98	17	10
N178	2	1	2	10
N179	21	20	9	10
N180	32	31	12	10
N181	90	89	25	10
