#node	EN	LPP	QT
N2	196.0	0.998405502047004	0.45095261811223897
N3	196.0	0.998405502047004	0.45095261811223897
N4	124.0	0.9999930822977084	0.5351201184324316
N5	195.0	0.9143867317551901	0.39864795053294777
N6	208.0	0.999999998226158	0.5399827650718303
N7	350.0	0.958498060176051	0.39055804524271454
N8	81.0	1.0	0.8426029307319935
N9	77.0	0.9990125306783583	0.5240405975014468
N10	255.0	0.9174753756685374	0.3957224162153692
N11	150.0	0.16609750637398393	0.3015110794452797
N12	206.0	0.9999962810459753	0.49377731736229036
N13	326.0	0.9999943410040258	0.45788850086599037
N14	369.0	0.9881957092334975	0.40001021348916066
N15	187.0	0.750682600177957	0.38011123819952564
N16	222.0	0.9794269058535112	0.41327332226979874
N17	84.0	1.0	0.8071517322951284
N18	145.0	0.9878829129233659	0.44177616720365187
N19	193.0	0.9989681678516484	0.4531240914003254
N20	292.0	0.8861262446557973	0.4048429169895947
N21	258.0	0.9873594351153241	0.4125479971829181
N22	265.0	0.7119264363697224	0.36980872004708853
N23	311.0	0.22426080526780798	0.32522660760831384
N24	257.0	0.06257306063841357	0.29445401639082425
N25	155.0	0.9999987473953867	0.5274384387858322
N26	115.0	0.7132148738139503	0.39052380703688483
N27	154.0	0.752360593907421	0.38250901523519476
N28	239.0	0.8797803783854058	0.38850097485120333
N29	190.0	0.7502999133568719	0.3835687378254719
N30	262.0	0.2168214148779093	0.34923057626363385
N31	137.0	1.0	0.710245497910603
N32	176.0	0.9999378667698989	0.4850385772428538
N33	155.0	0.9999998043036471	0.5411243975559239
N34	252.0	0.9739725716522165	0.4087488662244119
N35	254.0	1.0	0.9846891273062857
N36	219.0	0.9996503820304251	0.455718470428838
N37	246.0	1.0	0.8364409687654906
N38	172.0	0.9999857736699336	0.4983739951455787
N39	311.0	0.75087626200421	0.3673277167410497
N40	141.0	1.0	0.8387260179953868
N41	252.0	0.7495309953332266	0.37046274831494136
N42	96.0	0.12350494265615276	0.3924296591130135
N43	102.0	1.0	0.7939456921198488
N44	107.0	1.0	0.7814618159757811
N45	118.0	0.5156958138392995	0.37133878142368737
N46	222.0	0.9780798205393327	0.4123127744043232
N47	187.0	0.4478436040935685	0.35763205019423594
N48	124.0	1.0	0.7026575288896683
N49	116.0	0.9951815896176945	0.4692442892668821
N50	197.0	0.8461147845686509	0.3964355522211857
N51	260.0	0.9888365940792805	0.41519918530301153
N52	124.0	1.0	0.9402836750741863
N53	118.0	1.0	0.8256358208133034
N54	125.0	0.9999775346291147	0.5230606456520236
N55	163.0	0.9921656173153803	0.442595538097893
N56	146.0	0.9999476543390059	0.5010338464603004
N57	197.0	0.39823590261703135	0.35599182842434257
N58	188.0	0.9999999884125741	0.5395866988201307
N59	185.0	1.0	0.9132760768983542
N60	209.0	1.0	0.9385313015994108
N61	260.0	0.9999999999999991	0.5797346697705511
N62	309.0	0.7868968433946398	0.37391282144318777
N63	372.0	0.401702807859151	0.35367484283703343
N64	46.0	0.7466638884677	0.4273575159713273
N65	337.0	1.0	0.8018688814581093
N66	285.0	0.9690928955886403	0.3998286042388291
N67	121.0	1.0	0.7629445915136849
N68	135.0	1.0	0.8886570198181044
N69	147.0	1.0	0.8418216488795345
N70	164.0	0.820633005785862	0.40170089394086195
N71	118.0	0.9999999643552505	0.5865903333977709
N72	128.0	0.9759554440198599	0.4420293649889658
N73	156.0	0.8695269373926945	0.4000004862117426
N74	100.0	0.9940356522502233	0.4782372810279826
N75	116.0	0.7739026678994331	0.412590929939808
N76	139.0	0.999975377716032	0.5149399821580675
N77	177.0	0.9683518539962851	0.42004526723657476
N78	155.0	0.3353771492940061	0.3606311448695845
N79	221.0	0.9999908440673891	0.4832755031027212
N80	100.0	1.0	0.8237221425826508
N81	99.0	1.0	0.9549687457360636
N82	104.0	0.9999978081403199	0.565479724179424
N83	109.0	0.9999999999999925	0.7021893611663883
N84	155.0	0.9129412747029457	0.41604928854664397
N85	175.0	1.0	0.6762588441033945
N86	173.0	1.0	0.8848103651463521
N87	141.0	0.6918050681978289	0.37831122663810607
N88	162.0	0.4155937341198541	0.3438875068979442
N89	143.0	1.0	0.8589059358515818
N90	194.0	0.33756913635669744	0.3440660998036516
N91	226.0	1.0	0.9039070881870972
N92	288.0	0.9741036613006268	0.4014227948824862
N93	281.0	1.0	0.7660318502721044
N94	209.0	1.0	0.6755907179885956
N95	263.0	0.9489708212161521	0.3970321573062349
N96	334.0	0.5059620814250014	0.34891568227917436
N97	225.0	0.4406365931245396	0.34489174887477286
N98	269.0	1.0	0.7356911737219575
N99	313.0	1.0	0.724182500172326
N100	205.0	1.0	0.8255015734007942
N101	291.0	0.9165783443307668	0.38934035802537675
N102	141.0	0.9996183592827727	0.49537740145307435
N103	175.0	0.9999999998259177	0.5735787987870724
N104	182.0	0.8481414898539493	0.41342416070617793
N105	115.0	1.0	0.7307040174669145
N106	116.0	0.6649152834765492	0.38255370226245783
N107	113.0	1.0	0.844471797198051
N108	93.0	1.0	0.7895053512082789
N109	129.0	0.8468567902339939	0.4022019469600304
N110	128.0	0.5250330005576257	0.3677047358994823
N111	97.0	0.9997783642881282	0.5250670098500562
N112	150.0	0.9999587662357112	0.5007862603427902
N113	96.0	1.0	0.8605850257053179
N114	123.0	1.0	0.7855050165149822
N115	146.0	0.9999997296360652	0.5474181599779971
N116	146.0	0.8995184029299375	0.40461865236167616
N117	147.0	1.0	0.8454096788980475
N118	152.0	0.9982775264022618	0.4697912208378602
N119	213.0	0.999986590846189	0.48181766863485703
N120	105.0	1.0	0.9897949016267124
N121	90.0	1.0	1.0
N122	101.0	0.5351848808839491	0.38241570405982894
N123	114.0	1.0	0.73232182248634
N124	77.0	1.0	0.9075120913172614
N125	139.0	0.9999999999999997	0.677587545521663
N126	203.0	0.995654023670473	0.4470407408810802
N127	201.0	1.0	0.9918348245707018
N128	187.0	0.7722061232189795	0.399653929389024
N129	135.0	0.9854547751084826	0.4430646334181348
N130	165.0	0.9996767167067699	0.47542103625746485
N131	125.0	0.9999965659998705	0.5407631516451593
N132	116.0	1.0	0.9308193388726537
N133	135.0	0.9999999419712182	0.5689356808202166
N134	150.0	1.0	0.8513689359206026
N135	121.0	1.0	0.9305024141217284
N136	124.0	1.0	0.9826735593490726
N137	215.0	0.6208993611896687	0.36608252148555137
N138	226.0	0.9993262204355481	0.446744561343004
N139	253.0	1.0	0.8810101865683345
N140	268.0	1.0	0.8144403928849293
N141	264.0	1.0	0.8176476391337225
N142	261.0	0.9999995260988044	0.48778630781319093
N143	191.0	1.0	0.8293395688844261
N144	268.0	0.9999999999819489	0.5360552758106707
N145	288.0	1.0	0.682545872901494
N146	325.0	0.9999999999690754	0.5165155456993519
N147	225.0	0.4131436484588334	0.3534426183691808
N148	261.0	0.9999999974155754	0.5337226185371564
N149	233.0	1.0	0.7524173779710314
N150	302.0	1.0	0.5957228399581296
N151	310.0	1.0	0.6102264984569002
N152	111.0	0.9999999313788479	0.5885983206616394
N153	361.0	0.9995894301752788	0.43270891653411453
N154	313.0	0.591738093753657	0.3556266785644052
N155	144.0	1.0	0.9930555555555556
N156	133.0	0.9984600896032768	0.48048015590089815
N157	143.0	0.7583687856018023	0.38740583767421316
N158	165.0	0.32728439885417815	0.34115434372115877
N159	140.0	0.9999999999999993	0.6703894822883736
N160	144.0	0.9999999999580257	0.606250014336009
N161	70.0	0.99999988577743	0.6506982583760559
N162	122.0	0.18087485596060482	0.36215032769437927
N163	162.0	1.0	0.7199054949326942
N164	159.0	1.0	0.8744021444944905
N165	102.0	1.0	0.9223540803133486
N166	83.0	0.9999999998139307	0.6815578030109206
N167	119.0	0.6945025220910926	0.40285173704492805
N168	96.00000000000001	0.9987865886682661	0.5067735905947529
N169	155.0	1.0	0.8478787643153578
N170	137.0	1.0	0.8667223820176966
N171	118.0	1.0	0.76827469346085
N172	106.0	0.9999999999999998	0.728411592573306
N173	122.0	0.9999999999999964	0.686389441614915
N174	103.0	1.0	0.8182737460070564
N175	134.0	0.9999856793068843	0.5206313722100896
N176	194.0	0.9999998795909439	0.5262433240471126
N177	233.0	0.793508629142697	0.3802476329395427
N178	146.0	1.0	0.9402729601165665
N179	134.0	0.9999999999990316	0.6393268167504507
N180	215.0	1.0	0.6968284598670154
N181	166.0	0.9994249895196395	0.46865300581625996
N182	83.88095238095235	0.9999999997849713	0.6785706736723152
N183	90.56666666666668	0.9924097905601948	0.486934118513066
N184	85.0	1.0	0.9887992022762635
N185	131.0	1.0	0.992480594108013
N186	119.0	1.0	0.7806323048562892
N187	71.0	1.0	0.8309859154929577
N188	133.0	1.0	0.9677723671384755
N189	116.0	1.0	0.7186349396440636
N190	206.0	0.9983144841009115	0.44357209090413846
N191	242.0	0.9997763856229714	0.45222660011186777
N192	108.0	0.24919888232482568	0.3275232720609005
N193	189.0	0.8139025047871634	0.38719018482070955
N194	121.0	0.9999999999887618	0.6398658280274557
N195	119.9999016632951	1.0	0.9433101418066332
N196	158.0	0.5834327285534595	0.3785761159638421
N197	89.0	0.9428840410069794	0.4417995142044455
N198	121.0	0.836668275654848	0.4042824575260617
N199	110.0	1.0	0.8695626164785363
N200	108.0	1.0	0.9568215107763131
N201	127.0	1.0	0.8981389269725452
N202	129.0	0.9999999999998745	0.6570353610054572
N203	116.0	1.0	0.8388266356157198
N204	122.0	1.0	0.9795081967213115
N205	60.666666666666664	0.8034649139415971	0.45604395604395614
N206	139.0	1.0	0.7021118627768764
N207	106.0	0.9999988186982773	0.5701746559685583
N208	170.0	1.0	0.775001372880408
N209	153.0	0.9999999933792402	0.566658339637624
N210	231.0	0.9997497174008926	0.4642405636811871
N211	245.0	1.0	0.6558996051448782
N212	269.0	1.0	0.948735594562914
N213	263.0	1.0	0.7155942335362617
N214	260.0	1.0	0.9526233194443654
N215	255.0	1.0	0.9621435093639222
N216	264.0	1.0	0.9177782673209942
N217	289.0	1.0	0.9796066470195292
N218	141.0	1.0	0.6886817096010811
N219	231.0	1.0	0.8683957038776672
N220	241.0	1.0	0.8751649793748987
N221	293.0	1.0	0.7874718869225265
N222	271.0	1.0	0.9011654014190467
N223	339.0	1.0	0.5844709172574107
N224	330.0	1.0	0.8502981720346529
N225	380.0	0.9487467619863793	0.3853292938542563
N226	376.0	0.9999999999999692	0.5264616972612898
N227	288.0	1.0	0.9178183619874213
N228	218.0	1.0	0.845996997707206
N229	215.0	1.0	0.9069055617313826
N230	281.0	0.9795553023588461	0.40525628959029264
N231	301.0	1.0	0.6059789617692787
N232	282.0	0.999999999999993	0.5620610929828266
N233	340.0	0.9936802804792324	0.4093366292379005
N234	313.99999999988165	0.5657228010385833	0.3549314074113815
N235	24.0	0.4566872582053209	0.375
N236	139.0	1.0	0.9900859314760336
N237	143.0	1.0	0.851807352585656
N238	162.0	1.0	0.7172462020838689
N239	134.0	1.0	0.712110117054093
N240	146.0	0.9999061751956939	0.49567736726041817
N241	59.0	0.9999999999955811	0.7801134968856142
N242	137.0	0.9549248287471509	0.4233888710465323
N243	126.0	0.28406983231072197	0.3262562116667012
N244	155.0	1.0	0.9326800326561159
N245	161.0	1.0	0.8414733052013084
N246	97.0	1.0	0.8985887120253574
N247	156.0	1.0	0.7212669010119545
N248	132.0	1.0	0.9545454545454546
N249	93.0	0.9999999999987278	0.6986887752879195
N250	111.0	0.9994518298951817	0.4993605935965648
N251	147.0	1.0	0.7315193237207699
N252	153.0	0.9999999999679579	0.6063731565805873
N253	140.0	0.9374220646204511	0.48504001252112433
N254	111.0	0.9999999961225983	0.612791246827825
N255	109.0	1.0	0.9632804143195476
N256	149.0	1.0	0.7217903180129149
