name	taxa	splits	postlevels	prelevels
N1	10575	10533	64	1
N2	669	665	31	2
N3	9906	9867	63	2
N4	22	21	13	3
N5	647	643	30	3
N6	1454	1446	35	3
N7	8452	8420	62	3
N8	7	6	5	4
N9	15	14	12	4
N10	6	5	4	4
N11	641	637	29	4
G001873755	1	0	1	4
N12	1453	1445	34	4
N13	8	7	6	4
N14	8444	8412	61	4
N15	3	2	3	5
N16	4	3	4	5
N17	2	1	2	5
N18	13	12	11	5
N19	2	1	2	5
N20	4	3	3	5
N21	105	104	19	5
N22	536	532	28	5
N23	61	58	13	5
N24	1392	1386	33	5
G001778455	1	0	1	5
N25	7	6	5	5
N26	153	152	18	5
N27	8291	8259	60	5
G001940755	1	0	1	6
N28	2	1	2	6
G001940655	1	0	1	6
N29	3	2	3	6
G001875425	1	0	1	6
G001875345	1	0	1	6
G000246735	1	0	1	6
N30	12	11	10	6
G001871535	1	0	1	6
G001871475	1	0	1	6
N31	2	1	2	6
N32	2	1	2	6
N33	2	1	2	6
N34	103	102	18	6
N35	214	213	25	6
N36	322	318	27	6
G001773455	1	0	1	6
N37	60	57	12	6
N38	546	542	28	6
N39	846	843	32	6
N40	2	1	2	6
N41	5	4	4	6
N42	4	3	4	6
N43	149	148	17	6
N44	1070	1069	38	6
N45	7221	7189	59	6
G001940725	1	0	1	7
G001940645	1	0	1	7
G001563325	1	0	1	7
N46	2	1	2	7
G001628435	1	0	1	7
N47	11	10	9	7
G000402355	1	0	1	7
G000830275	1	0	1	7
G001871415	1	0	1	7
G000830295	1	0	1	7
G000376445	1	0	1	7
G000710615	1	0	1	7
N48	8	7	6	7
N49	95	94	17	7
N50	68	67	16	7
N51	146	145	24	7
N52	40	39	13	7
N53	282	278	26	7
N54	24	23	9	7
N55	36	33	11	7
N56	24	23	8	7
N57	522	518	27	7
N58	19	18	12	7
N59	827	824	31	7
G002011365	1	0	1	7
G002011415	1	0	1	7
N60	2	1	2	7
N61	3	2	3	7
G001918235	1	0	1	7
N62	3	2	3	7
N63	69	68	16	7
N64	80	79	15	7
N65	42	41	13	7
N66	1028	1027	37	7
N67	2192	2191	58	7
N68	5029	4997	48	7
G001940705	1	0	1	8
G001563335	1	0	1	8
G001629205	1	0	1	8
N69	10	9	8	8
G000196895	1	0	1	8
N70	7	6	5	8
N71	6	5	5	8
N72	89	88	16	8
N73	14	13	7	8
N74	54	53	15	8
N75	26	25	12	8
N76	120	119	23	8
N77	18	17	12	8
N78	22	21	12	8
N79	40	39	12	8
N80	242	238	25	8
N81	5	4	4	8
N82	19	18	8	8
G001787555	1	0	1	8
N83	35	32	10	8
N84	8	7	6	8
N85	16	15	7	8
N86	18	17	8	8
N87	504	500	26	8
N88	4	3	4	8
N89	15	14	11	8
N90	197	195	21	8
N91	630	628	30	8
G002011425	1	0	1	8
G002010355	1	0	1	8
G002010365	1	0	1	8
N92	2	1	2	8
G001920725	1	0	1	8
N93	2	1	2	8
N94	6	5	4	8
N95	63	62	15	8
N96	14	13	9	8
N97	66	65	14	8
G001917855	1	0	1	8
N98	41	40	12	8
G001724515	1	0	1	8
N99	1027	1026	36	8
N100	151	150	16	8
N101	2041	2040	57	8
N102	335	331	34	8
N103	4694	4665	47	8
N104	2	1	2	9
N105	8	7	7	9
G000336675	1	0	1	9
N106	6	5	4	9
N107	2	1	2	9
N108	4	3	4	9
N109	43	42	12	9
N110	46	45	15	9
N111	6	5	6	9
N112	8	7	6	9
G000007185	1	0	1	9
N113	53	52	14	9
N114	3	2	3	9
N115	23	22	11	9
N116	35	34	13	9
N117	85	84	22	9
N118	3	2	3	9
N119	15	14	11	9
N120	4	3	4	9
N121	18	17	11	9
N122	2	1	2	9
N123	38	37	11	9
N124	19	18	7	9
N125	223	219	24	9
N126	2	1	2	9
N127	3	2	3	9
N128	2	1	2	9
N129	17	16	7	9
N130	8	7	6	9
N131	27	24	9	9
N132	2	1	2	9
N133	6	5	5	9
N134	8	7	5	9
N135	8	7	6	9
N136	7	6	6	9
N137	11	10	7	9
N138	13	12	11	9
N139	491	487	25	9
G001777585	1	0	1	9
N140	3	2	3	9
G001779955	1	0	1	9
N141	14	13	10	9
N142	5	4	5	9
N143	192	190	20	9
N144	54	53	13	9
N145	576	574	29	9
G002011435	1	0	1	9
G002010385	1	0	1	9
G001919305	1	0	1	9
G001918845	1	0	1	9
N146	3	2	3	9
N147	3	2	3	9
G001796605	1	0	1	9
N148	62	61	14	9
N149	5	4	4	9
N150	9	8	8	9
N151	12	11	7	9
N152	54	53	13	9
N153	19	18	10	9
N154	22	21	11	9
N155	14	13	8	9
N156	1013	1012	35	9
N157	72	71	15	9
N158	79	78	14	9
N159	13	12	7	9
N160	2028	2027	56	9
N161	12	11	7	9
N162	323	319	33	9
N163	1157	1154	40	9
N164	3537	3510	46	9
G001629165	1	0	1	10
G001628475	1	0	1	10
G001629185	1	0	1	10
N165	7	6	6	10
