name	taxa	splits	postlevels	prelevels
N1	10575	10542	57	1
N2	669	665	35	2
N3	9906	9876	56	2
N4	120	119	18	3
N5	549	545	34	3
N6	8	7	6	3
N7	9898	9868	55	3
N8	15	14	10	4
N9	105	104	17	4
N10	6	5	4	4
N11	543	539	33	4
G001778455	1	0	1	4
N12	7	6	5	4
N13	2189	2186	45	4
N14	7709	7681	54	4
N15	2	1	2	5
N16	13	12	9	5
G000415945	1	0	1	5
N17	104	103	16	5
N18	2	1	2	5
N19	4	3	3	5
N20	249	245	24	5
N21	294	293	32	5
N22	2	1	2	5
N23	5	4	4	5
N24	33	30	9	5
N25	2156	2155	44	5
N26	1559	1556	38	5
N27	6150	6124	53	5
G001875425	1	0	1	6
G001875345	1	0	1	6
G000246735	1	0	1	6
N28	12	11	8	6
N29	30	29	15	6
N30	74	73	15	6
G001871535	1	0	1	6
G001871475	1	0	1	6
N31	2	1	2	6
N32	2	1	2	6
N33	7	6	5	6
N34	242	238	23	6
N35	40	39	13	6
N36	254	253	31	6
G002011365	1	0	1	6
G002011415	1	0	1	6
N37	2	1	2	6
N38	3	2	3	6
N39	6	5	5	6
N40	27	24	8	6
N41	74	73	13	6
N42	2082	2081	43	6
N43	323	320	27	6
N44	1236	1235	37	6
N45	1983	1972	43	6
N46	4167	4151	52	6
G001628435	1	0	1	7
N47	11	10	7	7
N48	2	1	2	7
N49	28	27	14	7
N50	31	30	11	7
N51	43	42	14	7
G000402355	1	0	1	7
G000830275	1	0	1	7
G001871415	1	0	1	7
G000830295	1	0	1	7
N52	3	2	3	7
N53	4	3	4	7
N54	19	18	8	7
N55	223	219	22	7
N56	18	17	11	7
N57	22	21	12	7
N58	48	47	13	7
N59	206	205	30	7
G002011425	1	0	1	7
G002010355	1	0	1	7
G002010365	1	0	1	7
N60	2	1	2	7
G001873945	1	0	1	7
N61	5	4	4	7
G001784485	1	0	1	7
N62	26	23	7	7
N63	32	31	10	7
N64	42	41	12	7
N65	77	76	16	7
N66	2005	2004	42	7
N67	28	27	15	7
N68	295	292	26	7
N69	13	12	8	7
N70	1223	1222	36	7
N71	133	132	19	7
N72	1850	1839	42	7
N73	970	969	40	7
N74	3197	3181	51	7
G001629205	1	0	1	8
N75	10	9	6	8
G900103505	1	0	1	8
G000403645	1	0	1	8
G000337515	1	0	1	8
N76	27	26	13	8
N77	15	14	10	8
N78	16	15	7	8
N79	2	1	2	8
N80	41	40	13	8
G001940755	1	0	1	8
N81	2	1	2	8
G001940655	1	0	1	8
N82	3	2	3	8
N83	5	4	5	8
N84	14	13	7	8
N85	56	55	19	8
N86	167	163	21	8
N87	3	2	3	8
N88	15	14	10	8
N89	3	2	3	8
N90	19	18	11	8
N91	2	1	2	8
N92	46	45	12	8
N93	60	59	15	8
N94	146	145	29	8
G002011435	1	0	1	8
G002010385	1	0	1	8
N95	2	1	2	8
N96	3	2	3	8
N97	11	10	6	8
N98	15	12	6	8
G000347575	1	0	1	8
N99	31	30	9	8
N100	2	1	2	8
N101	40	39	11	8
N102	5	4	4	8
N103	72	71	15	8
N104	17	16	9	8
N105	1988	1987	41	8
N106	6	5	5	8
N107	22	21	14	8
N108	2	1	2	8
N109	293	290	25	8
N110	4	3	4	8
N111	9	8	7	8
N112	154	153	18	8
N113	1069	1068	35	8
N114	66	65	14	8
N115	67	66	18	8
N116	373	368	27	8
N117	1477	1470	41	8
N118	2	1	2	8
N119	968	967	39	8
N120	168	167	23	8
N121	3029	3013	50	8
N122	2	1	2	9
N123	8	7	5	9
N124	2	1	2	9
N125	25	24	12	9
N126	2	1	2	9
N127	13	12	9	9
N128	6	5	5	9
N129	10	9	6	9
G000496195	1	0	1	9
G000427685	1	0	1	9
N130	16	15	9	9
N131	25	24	12	9
G001940725	1	0	1	9
G001940645	1	0	1	9
G001563325	1	0	1	9
N132	2	1	2	9
G001940665	1	0	1	9
N133	4	3	4	9
N134	4	3	4	9
N135	10	9	6	9
N136	9	8	7	9
N137	47	46	18	9
N138	10	9	9	9
N139	157	153	20	9
G002011395	1	0	1	9
N140	2	1	2	9
G001856825	1	0	1	9
N141	14	13	9	9
G001595885	1	0	1	9
N142	2	1	2	9
N143	4	3	4	9
N144	15	14	10	9
G001515205	1	0	1	9
G001515215	1	0	1	9
N145	8	7	6	9
N146	38	37	11	9
N147	6	5	6	9
N148	54	53	14	9
G001914405	1	0	1	9
N149	145	144	28	9
G001871865	1	0	1	9
G001778315	1	0	1	9
G000402295	1	0	1	9
N150	2	1	2	9
N151	4	3	3	9
N152	7	6	5	9
N153	7	6	5	9
N154	8	5	4	9
N155	2	1	2	9
N156	29	28	8	9
G000021645	1	0	1	9
G000020965	1	0	1	9
N157	5	4	4	9
N158	35	34	10	9
N159	2	1	2	9
N160	3	2	3	9
G001805475	1	0	1	9
N161	71	70	14	9
N162	7	6	5	9
N163	10	9	8	9
N164	653	652	30	9
