name	taxa	splits	postlevels	prelevels
N1	10575	10535	64	1
N2	669	665	34	2
N3	9906	9869	63	2
N4	6	5	4	3
N5	663	659	33	3
N6	1454	1446	35	3
N7	8452	8422	62	3
N8	2	1	2	4
N9	4	3	3	4
N10	22	21	13	4
N11	641	637	32	4
G001873755	1	0	1	4
N12	1453	1445	34	4
N13	21	20	8	4
N14	8431	8401	61	4
G001871475	1	0	1	5
G001871535	1	0	1	5
N15	2	1	2	5
N16	2	1	2	5
N17	7	6	5	5
N18	15	14	12	5
N19	319	318	28	5
N20	322	318	31	5
N21	61	58	13	5
N22	1392	1386	33	5
N23	6	5	4	5
N24	15	14	7	5
N25	3	2	3	5
N26	8428	8398	60	5
G000830275	1	0	1	6
G000402355	1	0	1	6
G000830295	1	0	1	6
G001871415	1	0	1	6
N27	3	2	3	6
N28	4	3	4	6
N29	2	1	2	6
N30	13	12	11	6
N31	8	7	6	6
N32	311	310	27	6
N33	40	39	13	6
N34	282	278	30	6
G001773455	1	0	1	6
N35	60	57	12	6
N36	504	499	24	6
N37	888	886	32	6
N38	3	2	3	6
N39	3	2	3	6
N40	5	4	5	6
N41	10	9	6	6
G001724515	1	0	1	6
N42	2	1	2	6
N43	3759	3756	59	6
N44	4669	4641	50	6
G001940755	1	0	1	7
N45	2	1	2	7
G001940655	1	0	1	7
N46	3	2	3	7
G001875425	1	0	1	7
G001875345	1	0	1	7
G000246735	1	0	1	7
N47	12	11	10	7
G001587675	1	0	1	7
N48	7	6	5	7
N49	60	59	17	7
N50	251	250	26	7
N51	18	17	11	7
N52	22	21	12	7
N53	40	39	11	7
N54	242	238	29	7
N55	24	23	9	7
N56	36	33	11	7
N57	13	12	9	7
N58	491	486	23	7
N59	42	41	12	7
N60	846	844	31	7
G001468855	1	0	1	7
N61	2	1	2	7
G001468925	1	0	1	7
N62	2	1	2	7
G000989525	1	0	1	7
N63	4	3	4	7
N64	5	4	4	7
N65	5	4	5	7
G001872985	1	0	1	7
G001791795	1	0	1	7
N66	1638	1635	43	7
N67	2121	2120	58	7
N68	98	95	13	7
N69	4571	4545	49	7
G001940725	1	0	1	8
G001940645	1	0	1	8
G001563325	1	0	1	8
N70	2	1	2	8
G001628435	1	0	1	8
N71	11	10	9	8
N72	3	2	3	8
N73	4	3	4	8
N74	6	5	6	8
N75	54	53	16	8
N76	106	105	19	8
N77	145	144	25	8
N78	3	2	3	8
N79	15	14	10	8
N80	3	2	3	8
N81	19	18	11	8
N82	2	1	2	8
N83	38	37	10	8
N84	17	16	7	8
N85	225	221	28	8
N86	5	4	4	8
N87	19	18	8	8
G001787555	1	0	1	8
N88	35	32	10	8
N89	2	1	2	8
N90	11	10	8	8
N91	64	62	18	8
N92	427	423	22	8
N93	8	7	6	8
N94	34	33	11	8
N95	216	215	23	8
N96	630	628	30	8
G000989955	1	0	1	8
G000992305	1	0	1	8
G000989975	1	0	1	8
G000989255	1	0	1	8
G000513475	1	0	1	8
N97	3	2	3	8
N98	2	1	2	8
N99	3	2	3	8
G001772305	1	0	1	8
N100	4	3	4	8
N101	336	333	33	8
N102	1302	1301	42	8
N103	80	79	14	8
N104	2041	2040	57	8
N105	33	30	10	8
N106	65	64	12	8
N107	1389	1380	42	8
N108	3182	3164	48	8
G001940705	1	0	1	9
G001563335	1	0	1	9
G001629205	1	0	1	9
N109	10	9	8	9
G001587655	1	0	1	9
N110	2	1	2	9
G001587715	1	0	1	9
N111	3	2	3	9
G002011125	1	0	1	9
N112	5	4	5	9
G000007185	1	0	1	9
N113	53	52	15	9
G001914405	1	0	1	9
N114	105	104	18	9
N115	25	24	13	9
N116	120	119	24	9
G002011395	1	0	1	9
N117	2	1	2	9
G001856825	1	0	1	9
N118	14	13	9	9
G001595885	1	0	1	9
