name	taxa	splits	postlevels	prelevels
N1	9814	9453	68	1
N2	600	535	31	2
N3	9214	8917	67	2
N4	2	1	2	3
N5	598	533	30	3
G001412365	1	0	1	3
N6	9213	8916	66	3
G000830295	1	0	1	4
G001871415	1	0	1	4
N7	3	2	3	4
N8	595	530	29	4
G001875255	1	0	1	4
N9	9212	8915	65	4
G001871475	1	0	1	5
N10	2	1	2	5
N11	2	1	2	5
N12	593	528	28	5
N13	8	7	5	5
N14	9204	8907	64	5
G000402355	1	0	1	6
G000830275	1	0	1	6
G001723845	1	0	1	6
G001742785	1	0	1	6
N15	219	161	25	6
N16	374	366	27	6
N17	4	3	4	6
N18	4	3	4	6
N19	900	894	48	6
N20	8304	8012	63	6
N21	2	1	2	7
N22	217	159	24	7
N23	44	42	14	7
N24	330	323	26	7
G001304335	1	0	1	7
N25	3	2	3	7
G001508335	1	0	1	7
N26	3	2	3	7
N27	13	12	7	7
N28	887	881	47	7
N29	6	5	5	7
N30	8298	8006	62	7
G001515205	1	0	1	8
G001515215	1	0	1	8
N31	5	4	4	8
N32	212	154	23	8
G002011125	1	0	1	8
N33	43	41	13	8
N34	54	53	14	8
N35	276	269	25	8
G001304185	1	0	1	8
N36	2	1	2	8
G001303785	1	0	1	8
N37	2	1	2	8
N38	4	3	4	8
N39	9	8	6	8
N40	30	29	11	8
N41	857	851	46	8
N42	2	1	2	8
N43	4	3	4	8
N44	275	244	25	8
N45	8023	7761	61	8
N46	2	1	2	9
N47	3	2	3	9
N48	52	51	19	9
N49	160	102	22	9
N50	7	5	5	9
N51	36	35	12	9
N52	19	18	9	9
N53	35	34	13	9
N54	36	35	12	9
N55	240	233	24	9
G001302835	1	0	1	9
G001303705	1	0	1	9
G002010635	1	0	1	9
G002011615	1	0	1	9
G001304015	1	0	1	9
N56	3	2	3	9
N57	2	1	2	9
N58	7	6	5	9
G000403035	1	0	1	9
N59	29	28	10	9
N60	5	4	4	9
N61	852	846	45	9
G000406005	1	0	1	9
G001774505	1	0	1	9
G001304075	1	0	1	9
N62	3	2	3	9
N63	27	25	13	9
N64	248	218	24	9
N65	2860	2762	48	9
N66	5163	4998	60	9
G001940645	1	0	1	10
G001940755	1	0	1	10
G001940665	1	0	1	10
N67	2	1	2	10
N68	10	9	6	10
N69	42	41	18	10
N70	4	3	4	10
N71	156	98	21	10
N72	3	1	2	10
N73	4	3	4	10
G002009975	1	0	1	10
N74	35	34	11	10
N75	8	7	6	10
N76	11	10	8	10
G000007185	1	0	1	10
N77	34	33	12	10
N78	18	17	11	10
N79	18	17	11	10
N80	22	21	12	10
N81	218	211	23	10
G001302725	1	0	1	10
N82	2	1	2	10
G001777945	1	0	1	10
G001780165	1	0	1	10
N83	3	2	3	10
N84	4	3	4	10
N85	7	6	4	10
N86	22	21	9	10
N87	2	1	2	10
N88	3	2	3	10
N89	6	5	5	10
N90	846	840	44	10
N91	2	1	2	10
G000405145	1	0	1	10
G001873945	1	0	1	10
N92	26	24	12	10
N93	88	87	20	10
N94	160	130	23	10
N95	40	39	16	10
N96	2820	2722	47	10
N97	1535	1440	40	10
N98	3628	3557	59	10
G001563325	1	0	1	11
G001940705	1	0	1	11
N99	3	2	3	11
N100	7	6	5	11
G000270325	1	0	1	11
N101	41	40	17	11
G001717015	1	0	1	11
N102	3	2	3	11
N103	3	2	3	11
N104	153	95	20	11
G001587595	1	0	1	11
G001587635	1	0	1	11
G001587605	1	0	1	11
G001587715	1	0	1	11
N105	3	2	3	11
N106	2	1	2	11
N107	33	32	10	11
N108	3	2	3	11
N109	5	4	5	11
N110	2	1	2	11
N111	9	8	7	11
G000166095	1	0	1	11
N112	33	32	11	11
N113	3	2	3	11
