LABELS
SEPARATOR TAB
DATA
G000005825	s__Bacillus pseudofirmus
G000006175	s__Methanococcus voltae
G000006725	s__Xylella fastidiosa
G000006745	s__Vibrio cholerae
G000006845	s__Neisseria gonorrhoeae
G000006865	s__Lactococcus lactis
G000006965	s__Sinorhizobium meliloti
G000006985	s__Chlorobaculum tepidum
G000007025	s__Rickettsia conorii
G000007145	s__Xanthomonas campestris
G000007185	c__Methanopyri
G000007225	s__Pyrobaculum aerophilum
G000007265	s__Streptococcus agalactiae
G000007345	s__Methanosarcina acetivorans
G000007385	s__Xanthomonas oryzae
G000007485	g__Tropheryma
G000007525	s__Bifidobacterium longum
G000007605	s__Chlamydia caviae
G000007625	s__Clostridium tetani
G000007705	s__Chromobacterium violaceum
G000007745	s__[Mannheimia] succiniciproducens
G000007805	s__Pseudomonas syringae group genomosp. 3
G000007905	s__Helicobacter hepaticus
G000007945	s__[Haemophilus] ducreyi
G000007985	s__Geobacter sulfurreducens
G000008025	s__Wolbachia endosymbiont of Drosophila melanogaster
G000008045	s__Rickettsia typhi
G000008185	s__Treponema denticola
G000008265	f__Picrophilaceae
G000008325	g__Methylococcus
G000008385	s__Wolbachia endosymbiont of Brugia malayi
G000008565	s__Deinococcus radiodurans
G000008605	s__Treponema pallidum
G000008625	g__Aquifex
G000008645	s__Methanothermobacter thermautotrophicus
G000008765	s__Clostridium acetobutylicum
G000008805	s__Neisseria meningitidis
G000008925	s__Lactobacillus salivarius
G000009125	s__Ralstonia solanacearum
G000009145	s__Nitrosomonas europaea
G000009305	s__Helicobacter acinonychis
G000009365	s__Alcanivorax borkumensis
G000009545	s__Streptococcus uberis
G000009705	s__Nostoc sp. PCC 7120
G000009745	s__Vibrio vulnificus
G000009845	s__Onion yellows phytoplasma
G000009865	s__Staphylococcus haemolyticus
G000009905	g__Symbiobacterium
G000009945	s__Chlamydia felis
G000009965	s__Thermococcus kodakarensis
G000009985	s__Magnetospirillum magneticum
G000010085	s__Sodalis glossinidius
G000010185	g__Finegoldia
G000010285	s__Kocuria rhizophila
G000010305	s__Gemmatimonas aurantiaca
