DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	size
COLOR	#ff0000
DATA
G000005825	4249248
G000006175	1936387
G000006605	2476822
G000006725	2731750
G000006745	4033464
G000006785	1852433
G000006845	2153922
G000006865	2365589
G000006925	4828820
G000006965	6691694
G000006985	2154946
G000007005	2992245
G000007025	1268755
G000007085	2689445
G000007105	2056363
G000007145	5076188
G000007185	1694969
G000007205	1225935
G000007225	2222430
G000007265	2160267
G000007305	1908256
G000007325	2174500
G000007345	5751492
G000007365	641454
G000007385	4941439
G000007465	2032925
G000007485	927303
G000007525	2260266
G000007565	6181873
G000007605	1181356
G000007625	2873333
G000007645	2564615
G000007705	4751080
G000007725	618379
G000007745	2314078
G000007765	2032674
G000007785	3359974
G000007805	6538260
G000007825	5427083
G000007845	5227293
G000007865	4829781
G000007905	1799146
G000007925	1751080
G000007945	1698955
G000007985	3814128
G000008025	1267782
G000008045	1111496
G000008165	5228663
G000008185	2843201
G000008265	1545895
G000008325	3304561
G000008345	2560265
G000008385	1080084
G000008465	2839318
G000008505	5314794
G000008525	1667867
G000008545	1860725
G000008565	3284156
G000008605	1138011
G000008625	1590791
G000008645	1751377
G000008665	2178400
G000008685	1521208
G000008725	1042519
G000008745	1230230
G000008765	4132880
G000008805	2272360
G000008865	5594477
G000008885	703004
G000008925	2133977
G000009025	1395502
G000009065	4829855
G000009125	5810922
G000009145	2812094
G000009185	3179361
G000009205	4298133
G000009245	1895994
G000009305	1557588
G000009345	4683620
G000009365	3120143
G000009545	1852352
G000009705	7211789
G000009725	3947019
G000009745	5260086
G000009765	9119895
G000009825	4303871
G000009845	853092
G000009865	2697861
G000009905	3566135
G000009925	5310990
G000009945	1173791
G000009965	2088737
G000009985	4967148
G000010065	2696255
G000010085	4292502
G000010125	2577899
G000010145	2098685
G000010165	6296436
G000010185	1986740
G000010205	2008987
G000010285	2697540
G000010305	4636964
G000010325	1877931
G000010345	2562277
G000010405	1022154
G000010425	2089645
G000010505	2354886
G000010525	5369772
G000010565	3025375
G000010585	2219737
G000010605	8545929
G000010625	5842795
G000010645	1224919
G000010665	5315620
G000010785	1743135
G000010825	3340249
G000010985	2542933
G000011005	2957635
G000011025	2264603
G000011065	6293399
G000011105	1738505
G000011125	1669696
G000011165	1226565
G000011185	1584804
G000011205	2694756
G000011225	1358633
G000011245	3630528
G000011305	3219505
G000011345	2593857
G000011365	9105828
G000011385	4659019
G000011405	1895727
G000011465	1657990
G000011485	2410873
G000011545	7247547
G000011565	2414465
G000011645	4222597
G000011685	2922384
G000011705	5835527
G000011745	791654
G000011805	4273718
G000011905	1469720
G000011945	1197687
G000011965	4601048
G000011985	1993560
G000012005	4560911
G000012065	1066225
G000012085	917330
G000012145	1587240
G000012225	723970
G000012245	6093698
G000012285	2225959
G000012305	2650701
G000012325	5373180
G000012345	1308759
G000012385	1522076
G000012405	3642249
G000012425	4501104
G000012465	1842899
G000012485	2364842
G000012505	2234828
G000012525	2742269
G000012545	1767403
G000012565	1315030
G000012585	2572079
G000012605	2427734
G000012645	1709204
G000012665	3730232
G000012685	9139763
G000012725	3402093
G000012745	2909809
G000012805	3522111
G000012825	5163189
G000012845	4811379
G000012865	2401520
G000012885	3665893
G000012905	4602977
G000012925	4011182
G000012965	2201561
G000012985	7215267
G000013005	3052398
G000013025	3705021
G000013045	3587328
G000013085	4406557
G000013105	2628784
G000013125	1471282
G000013145	1176248
G000013165	859006
G000013185	686194
G000013205	2932766
G000013225	3046682
G000013285	3256683
G000013325	4233314
G000013345	5433628
G000013365	5331656
G000013405	3179300
G000013445	3544738
G000013565	4404049
G000013605	4969784
G000013625	4110251
G000013645	9731138
G000013665	5057531
G000013705	2971517
G000013725	2575032
G000013745	5513844
G000013765	4545906
G000013865	5898676
G000013885	5011522
G000013945	3931782
G000013985	3373713
G000014005	5650368
G000014025	2341251
G000014045	4331234
G000014125	2547720
G000014145	4433218
G000014185	3225748
G000014205	2388435
G000014225	5187005
G000014245	4935185
G000014265	7750108
G000014285	2708355
G000014345	1159772
G000014385	1780517
G000014425	1894360
G000014445	2075763
G000014465	2340228
G000014505	1832387
G000014525	2924325
G000014565	9702737
G000014585	2606748
G000014605	1895727
G000014705	4845257
G000014725	2936195
G000014745	3368780
G000014765	2781824
G000014785	3275944
G000014805	4744448
G000014825	5505494
G000014865	4719581
G000014885	5396476
G000014905	9965640
G000014925	5226648
G000014945	1879471
G000014965	4990251
G000015005	6988209
G000015025	2443540
G000015045	4241119
G000015105	1160782
G000015125	3133902
G000015145	1667163
G000015205	1826402
G000015225	1813393
G000015245	4306142
G000015265	5293685
G000015285	4559598
G000015305	6491865
G000015345	1389350
G000015405	6256079
G000015445	1445021
G000015505	5366143
G000015565	5597943
G000015585	2678452
G000015645	1669886
G000015665	1704176
G000015685	1864731
G000015705	2682675
G000015725	4643639
G000015745	3608012
G000015765	1804962
