#marker	uniprot_id	protein	gene	organism	length	go_terms	go_slim_terms
p0000	B3PLT3	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	oppF-valS	Mycoplasma arthritidis (strain 158L3-1)	1631	GO:0000166,GO:0004812,GO:0004832,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006438,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0001	A0A173SLF7	Elongation factor G	fusA_1	Anaerostipes hadrus	880	GO:0003746,GO:0003924,GO:0005525,GO:0006414	GO:0003924,GO:0008135,GO:0043167
p0002	B1AI94	ATP-dependent zinc metalloprotease FtsH (EC 3.4.24.-)	ftsH	Ureaplasma parvum serovar 3 (strain ATCC 27815 / 27 / NCTC 11736)	721	GO:0000166,GO:0004222,GO:0005524,GO:0005886,GO:0006508,GO:0008233,GO:0008237,GO:0016020,GO:0016021,GO:0016787,GO:0046872	GO:0003674,GO:0005575,GO:0005886,GO:0008150,GO:0008233,GO:0043167
p0003	A0A0T5XBS3	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC	Acetomicrobium hydrogeniformans ATCC BAA-1850	1652	GO:0003677,GO:0003899,GO:0006351,GO:0016740,GO:0016779	GO:0003674,GO:0003677,GO:0009058,GO:0016779,GO:0034641
p0004	P19486	Elongation factor 1-alpha (EF-1-alpha) (Elongation factor Tu) (EF-Tu)	tuf	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	424	GO:0000166,GO:0003746,GO:0003924,GO:0005525,GO:0005737,GO:0006412,GO:0006414	GO:0003674,GO:0003924,GO:0005737,GO:0008135,GO:0043167
p0005	E1GXM3	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS	Prevotella amnii CRIS 21A-A	1220	GO:0000049,GO:0000166,GO:0004812,GO:0004822,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006428,GO:0008270,GO:0016874,GO:0046872	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0006	Q7US70	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS	Rhodopirellula baltica (strain DSM 10527 / NCIMB 13988 / SH1)	537	GO:0000166,GO:0004812,GO:0004817,GO:0005524,GO:0005737,GO:0005829,GO:0006412,GO:0006418,GO:0006423,GO:0016874,GO:0046872	GO:0003674,GO:0005737,GO:0005829,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0007	Q9HJT1	Enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (2-phosphoglycerate dehydratase)	eno	Thermoplasma acidophilum (strain ATCC 25905 / DSM 1728 / JCM 9062 / NBRC 15155 / AMRC-C165)	401	GO:0000015,GO:0000287,GO:0004634,GO:0005576,GO:0005737,GO:0006096,GO:0009986,GO:0016829,GO:0046872	GO:0005576,GO:0005623,GO:0005737,GO:0005829,GO:0005975,GO:0006091,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0032991,GO:0034655,GO:0043167,GO:0051186
p0008	D5WTU4	Serine--tRNA ligase (EC 6.1.1.11) (Seryl-tRNA synthetase) (SerRS) (Seryl-tRNA(Ser/Sec) synthetase)	serS	Kyrpidia tusciae (strain DSM 2912 / NBRC 15312 / T2) (Bacillus tusciae)	428	GO:0000166,GO:0004812,GO:0004828,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006434,GO:0016260,GO:0016874	GO:0003674,GO:0005737,GO:0006399,GO:0006520,GO:0009058,GO:0016874,GO:0043167
p0009	M5SR57	Signal recognition particle protein	RESH_00663	Rhodopirellula europaea SH398	639	GO:0003924,GO:0005525,GO:0008312,GO:0048500	GO:0003723,GO:0003924,GO:0005737,GO:0032991,GO:0043167
p0010	C9RQN5	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB	Fibrobacter succinogenes (strain ATCC 19169 / S85)	1429	GO:0003677,GO:0003899,GO:0006351,GO:0016740,GO:0016779,GO:0032549	GO:0003674,GO:0003677,GO:0009058,GO:0016779,GO:0034641
p0011	Q1IJG7	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	alaS	Koribacter versatilis (strain Ellin345)	1098	GO:0000049,GO:0000166,GO:0003676,GO:0003723,GO:0004812,GO:0004813,GO:0005524,GO:0005737,GO:0006412,GO:0006419,GO:0016874,GO:0043039,GO:0046872	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0012	Q7VG78	Probable GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	guaA	Helicobacter hepaticus (strain ATCC 51449 / 3B1)	1375	GO:0000166,GO:0003824,GO:0003922,GO:0005524,GO:0006164,GO:0006177,GO:0006281,GO:0006284,GO:0006541,GO:0008725,GO:0016462,GO:0016874	GO:0003674,GO:0006259,GO:0006520,GO:0006950,GO:0009058,GO:0016798,GO:0016874,GO:0034641,GO:0043167
p0013	Q7NBS6	CTP synthase (EC 6.3.4.2)	pyrG	Mycoplasma gallisepticum (strain R(low / passage 15 / clone 2))	540	GO:0000166,GO:0003883,GO:0005524,GO:0006221,GO:0006241,GO:0006541,GO:0016874,GO:0046872	GO:0003674,GO:0006520,GO:0009058,GO:0016874,GO:0034641,GO:0043167
p0014	W8JPZ7	Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)	glyA	Chlamydia avium 10DC88	496	GO:0003824,GO:0004372,GO:0005737,GO:0006545,GO:0006730,GO:0008168,GO:0008652,GO:0016740,GO:0019264,GO:0030170	GO:0003674,GO:0005737,GO:0006520,GO:0008150,GO:0008168,GO:0009058,GO:0043167
p0015	A6UND5	2-alkenal reductase (EC 1.3.1.74)	Mevan_0093	Methanococcus vannielii (strain ATCC 35089 / DSM 1224 / JCM 13029 / OCM 148 / SB)	573	GO:0000166,GO:0005524,GO:0016491,GO:0055114	GO:0003674,GO:0008150,GO:0016491,GO:0043167
p0016	E1IGI9	DNA topoisomerase (ATP-hydrolyzing) (EC 5.99.1.3)	OSCT_2440	Oscillochloris trichoides DG-6	1340	GO:0003677,GO:0003916,GO:0003918,GO:0005524,GO:0005694,GO:0006259,GO:0006265,GO:0016539,GO:0016853	GO:0003677,GO:0005694,GO:0006259,GO:0016853,GO:0016887,GO:0043167,GO:0051276,GO:0051604
p0017	D3RUV4	DNA gyrase subunit B (EC 5.99.1.3)	gyrB	Allochromatium vinosum (strain ATCC 17899 / DSM 180 / NBRC 103801 / NCIMB 10441 / D) (Chromatium vinosum)	1371	GO:0000166,GO:0003677,GO:0003916,GO:0003918,GO:0004519,GO:0005524,GO:0005694,GO:0005737,GO:0006261,GO:0006265,GO:0016539,GO:0016853,GO:0043565,GO:0046872	GO:0003674,GO:0003677,GO:0004518,GO:0005694,GO:0005737,GO:0006259,GO:0009058,GO:0016853,GO:0016887,GO:0043167,GO:0051276,GO:0051604
p0018	B5I9V0	Phosphoglycerate kinase (EC 2.7.2.3)	pgk	Aciduliprofundum boonei (strain DSM 19572 / T469)	409	GO:0000166,GO:0004618,GO:0005524,GO:0005737,GO:0006096,GO:0016301,GO:0016310,GO:0016740	GO:0003674,GO:0005737,GO:0005975,GO:0006091,GO:0008150,GO:0009058,GO:0016301,GO:0016491,GO:0016829,GO:0016853,GO:0034655,GO:0043167,GO:0051186
p0019	C9RM46	UvrABC system protein A	FSU_1023	Fibrobacter succinogenes (strain ATCC 19169 / S85)	1771	GO:0000166,GO:0003677,GO:0004518,GO:0005524,GO:0005737,GO:0006281,GO:0006289,GO:0006974,GO:0009380,GO:0016887,GO:0046872	GO:0003674,GO:0003677,GO:0004518,GO:0005622,GO:0005737,GO:0006259,GO:0006950,GO:0016887,GO:0032991,GO:0043167
p0020	D8PAC1	Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)	thrS	Nitrospira defluvii	651	GO:0000049,GO:0000166,GO:0003723,GO:0004812,GO:0004829,GO:0005524,GO:0005737,GO:0006412,GO:0006418,GO:0006435,GO:0016874,GO:0043039,GO:0046872	GO:0003674,GO:0003723,GO:0005737,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0021	A6WZG5	UvrABC system protein B (Protein UvrB) (Excinuclease ABC subunit B)	uvrB	Ochrobactrum anthropi (strain ATCC 49188 / DSM 6882 / JCM 21032 / NBRC 15819 / NCTC 12168)	941	GO:0000166,GO:0003677,GO:0004518,GO:0005524,GO:0005737,GO:0006281,GO:0006289,GO:0006974,GO:0009380,GO:0009381,GO:0009432,GO:0016787,GO:0016887	GO:0003674,GO:0003677,GO:0004518,GO:0005622,GO:0005737,GO:0006259,GO:0006950,GO:0016887,GO:0032991,GO:0043167
p0022	A0A1B4WK91	Multidrug efflux ATP-binding/permease protein Rv0194	mdlB	Corynebacterium glutamicum (Brevibacterium saccharolyticum)	1247	GO:0000166,GO:0005524,GO:0016020,GO:0016021,GO:0016887,GO:0042626	GO:0003674,GO:0005575,GO:0016887,GO:0022857,GO:0043167
p0023	D3R080	Translation initiation factor IF-2	infB	Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp. BVAB3 (strain UPII9-5))	1155	GO:0000166,GO:0003743,GO:0003924,GO:0005525,GO:0005622,GO:0005737,GO:0006412,GO:0006413	GO:0003674,GO:0003924,GO:0005622,GO:0005737,GO:0008135,GO:0043167
p0024	A5F9G1	D-erythrose-4-phosphate dehydrogenase (E4PDH) (EC 1.2.1.72)	epd	Vibrio cholerae serotype O1 (strain ATCC 39541 / Classical Ogawa 395 / O395)	341	GO:0005737,GO:0008615,GO:0016491,GO:0016620,GO:0042823,GO:0055114	GO:0005737,GO:0008150,GO:0009058,GO:0016491,GO:0034641,GO:0051186
p0025	D3R5N5	Copper-exporting ATPase (EC 3.6.3.4)	BIF_01143	Bifidobacterium animalis subsp. lactis (strain BB-12)	941	GO:0000166,GO:0004008,GO:0005886,GO:0006812,GO:0016020,GO:0016021,GO:0016491,GO:0016787,GO:0019829,GO:0055114	GO:0003674,GO:0005575,GO:0005886,GO:0006810,GO:0008150,GO:0016491,GO:0016887,GO:0022857
p0026	B5YAR4	Chaperone protein DnaJ	dnaJ	Dictyoglomus thermophilum (strain ATCC 35947 / DSM 3960 / H-6-12)	390	GO:0005524,GO:0005737,GO:0006260,GO:0006457,GO:0009408,GO:0046872,GO:0051082	GO:0005737,GO:0006259,GO:0006457,GO:0006950,GO:0009058,GO:0043167,GO:0051082
p0027	A9WK84	Leucine--tRNA ligase (EC 6.1.1.4) (Leucyl-tRNA synthetase) (LeuRS)	leuS	Chloroflexus aurantiacus (strain ATCC 29366 / DSM 635 / J-10-fl)	1000	GO:0000166,GO:0004812,GO:0004823,GO:0005524,GO:0005737,GO:0005829,GO:0006412,GO:0006418,GO:0006429,GO:0016874	GO:0003674,GO:0005737,GO:0005829,GO:0006399,GO:0006520,GO:0016874,GO:0043167
p0028	Q58815	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase) (GFAT) (Glucosamine-6-phosphate synthase) (Hexosephosphate aminotransferase) (L-glutamine--D-fructose-6-phosphate amidotransferase) [Cleaved into: Mja gf6p intein]	glmS	Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) (Methanococcus jannaschii)	1099	GO:0003677,GO:0004360,GO:0004519,GO:0005737,GO:0006002,GO:0006047,GO:0006487,GO:0006541,GO:0008483,GO:0016539,GO:0016740,GO:0043565	GO:0003674,GO:0003677,GO:0004518,GO:0005737,GO:0006464,GO:0006520,GO:0008150,GO:0009058,GO:0034641,GO:0051604
p0029	Q8EW89	Inosine-5'-monophosphate dehydrogenase	MYPE3150	Mycoplasma penetrans (strain HF-2)	483	GO:0003824,GO:0003938,GO:0006164,GO:0055114	GO:0003674,GO:0008150,GO:0009058,GO:0016491,GO:0034641
p0030	D9PW62	ATP-dependent DNA helicase (EC 3.6.1.-)	pcrA1	Methanothermobacter marburgensis (strain ATCC BAA-927 / DSM 2133 / JCM 14651 / NBRC 100331 / OCM 82 / Marburg) (Methanobacterium thermoautotrophicum)	916	GO:0003677,GO:0004003,GO:0004386,GO:0005524,GO:0016787	GO:0003674,GO:0003677,GO:0004386,GO:0016887,GO:0043167,GO:0051276
