DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	completeness
COLOR	#0000ff
DATA
G000005825	98.68
G000006175	99.05
G000006605	100.0
G000006725	99.59
G000006745	99.86
G000006785	100.0
G000006845	99.82
G000006865	100.0
G000006925	99.7
G000006965	99.28
G000006985	98.9
G000007005	100.0
G000007025	99.46
G000007085	99.04
G000007105	100.0
G000007145	99.64
G000007185	96.74
G000007205	99.49
G000007225	100.0
G000007265	100.0
G000007305	99.5
G000007325	99.95
G000007345	99.84
G000007365	98.77
G000007385	99.82
G000007465	100.0
G000007485	76.27
G000007525	100.0
G000007565	99.97
G000007605	99.49
G000007625	98.28
G000007645	99.81
G000007705	99.04
G000007725	97.18
G000007745	100.0
G000007765	100.0
G000007785	99.53
G000007805	100.0
G000007825	98.18
G000007845	99.23
G000007865	99.28
G000007905	99.94
G000007925	100.0
G000007945	99.43
G000007985	99.35
G000008025	99.79
G000008045	99.66
G000008165	99.23
G000008185	100.0
G000008265	99.59
G000008325	99.2
G000008345	100.0
G000008385	99.15
G000008465	100.0
G000008505	99.07
G000008525	99.36
G000008545	100.0
G000008565	98.72
G000008605	100.0
G000008625	98.98
G000008645	100.0
G000008665	100.0
G000008685	100.0
G000008725	98.92
G000008745	99.49
G000008765	100.0
G000008805	99.75
G000008865	99.97
G000008885	100.0
G000008925	99.48
G000009025	99.01
G000009065	99.82
G000009125	99.94
G000009145	99.97
G000009185	99.3
G000009205	99.51
G000009245	99.82
G000009305	99.12
G000009345	99.95
G000009365	100.0
G000009545	100.0
G000009705	99.19
G000009725	99.78
G000009745	100.0
G000009765	99.89
G000009825	98.67
G000009845	98.57
G000009865	99.62
G000009905	98.02
G000009925	99.26
G000009945	99.49
G000009965	100.0
G000009985	99.0
G000010065	99.73
G000010085	100.0
G000010125	99.44
G000010145	99.18
G000010165	99.73
G000010185	99.39
G000010205	99.51
G000010285	98.68
G000010305	98.9
G000010325	98.78
G000010345	99.59
G000010405	93.54
G000010425	100.0
G000010505	99.92
G000010525	100.0
G000010565	100.0
G000010585	96.13
G000010605	99.84
G000010625	99.89
G000010645	89.51
G000010665	100.0
G000010785	98.78
G000010825	100.0
G000010985	96.55
G000011005	100.0
G000011025	99.33
G000011065	99.41
G000011105	100.0
G000011125	97.78
G000011165	99.49
G000011185	97.97
G000011205	100.0
G000011225	98.33
G000011245	99.33
G000011305	99.89
G000011345	99.76
G000011365	99.99
G000011385	99.15
G000011405	99.82
G000011465	99.46
G000011485	99.46
G000011545	100.0
G000011565	99.96
G000011645	98.82
G000011685	100.0
G000011705	99.95
G000011745	98.78
G000011805	99.8
G000011905	99.01
G000011945	100.0
G000011965	99.36
G000011985	98.94
G000012005	99.9
G000012065	100.0
G000012085	99.19
G000012145	100.0
G000012225	97.14
G000012245	100.0
G000012285	99.4
G000012305	99.73
G000012325	100.0
G000012345	100.0
G000012385	100.0
G000012405	100.0
G000012425	99.61
G000012465	99.45
G000012485	98.91
G000012505	99.46
G000012525	100.0
G000012545	97.6
G000012565	99.57
G000012585	98.9
G000012605	99.39
G000012645	99.73
G000012665	100.0
G000012685	99.35
G000012725	99.8
G000012745	100.0
G000012805	97.35
G000012825	99.25
G000012845	99.42
G000012865	100.0
G000012885	99.35
G000012905	99.39
G000012925	99.42
