DATASET_SIMPLEBAR
SEPARATOR TAB
DATASET_LABEL	coding density
COLOR	#00ff00
DATA
G000005825	85.03
G000006175	80.12
G000006605	89.23
G000006725	82.29
G000006745	86.41
G000006785	85.6
G000006845	83.15
G000006865	86.24
G000006925	86.08
G000006965	86.03
G000006985	87.23
G000007005	85.64
G000007025	80.4
G000007085	88.81
G000007105	86.45
G000007145	85.32
G000007185	90.39
G000007205	89.3
G000007225	88.96
G000007265	87.65
G000007305	91.24
G000007325	90.75
G000007345	75.21
G000007365	87.96
G000007385	84.81
G000007465	85.54
G000007485	87.99
G000007525	86.86
G000007565	88.57
G000007605	90.34
G000007625	87.69
G000007645	82.81
G000007705	88.45
G000007725	81.86
G000007745	87.81
G000007765	88.53
G000007785	87.57
G000007805	87.68
G000007825	83.79
G000007845	84.11
G000007865	91.14
G000007905	93.43
G000007925	88.91
G000007945	87.71
G000007985	90.75
G000008025	84.19
G000008045	75.72
G000008165	84.12
G000008185	91.64
G000008265	92.09
G000008325	90.81
G000008345	89.59
G000008385	73.78
G000008465	92.47
G000008505	83.96
G000008525	90.61
G000008545	94.91
G000008565	88.41
G000008605	92.16
G000008625	94.67
G000008645	89.48
G000008665	92.58
G000008685	85.29
G000008725	89.82
G000008745	89.29
G000008765	86.22
G000008805	81.95
G000008865	87.43
G000008885	87.83
G000008925	86.85
G000009025	89.79
G000009065	83.53
G000009125	87.37
G000009145	88.7
G000009185	78.14
G000009205	82.8
G000009245	88.51
G000009305	88.8
G000009345	84.95
G000009365	87.55
G000009545	88.9
G000009705	82.6
G000009725	86.75
G000009745	86.94
G000009765	86.3
G000009825	86.79
G000009845	79.16
G000009865	85.66
G000009905	86.67
G000009925	88.85
G000009945	90.36
G000009965	91.4
G000009985	90.14
G000010065	88.89
G000010085	77.66
G000010125	83.41
G000010145	85.38
G000010165	87.61
G000010185	90.54
G000010205	76.25
G000010285	88.08
G000010305	93.0
G000010325	95.3
G000010345	91.27
G000010405	85.64
G000010425	86.63
G000010505	85.66
G000010525	88.82
G000010565	86.22
G000010585	89.68
G000010605	87.7
G000010625	80.08
G000010645	74.65
G000010665	85.61
G000010785	96.25
G000010825	88.65
G000010985	92.99
G000011005	87.26
G000011025	82.96
G000011065	89.77
G000011105	92.02
G000011125	88.7
G000011165	89.14
G000011185	87.22
G000011205	85.74
G000011225	88.45
G000011245	84.74
G000011305	87.77
G000011345	89.65
G000011365	85.1
G000011385	88.96
G000011405	88.41
G000011465	90.14
G000011485	83.29
G000011545	83.87
G000011565	81.07
G000011645	87.47
G000011685	90.58
G000011705	84.0
G000011745	76.66
G000011805	87.17
G000011905	90.6
G000011945	86.62
G000011965	90.34
G000011985	88.47
G000012005	84.68
G000012065	90.06
G000012085	93.62
G000012145	84.7
G000012225	72.55
G000012245	87.9
G000012285	87.62
G000012305	81.45
G000012325	84.14
G000012345	96.11
G000012385	85.95
G000012405	84.41
G000012425	91.43
G000012465	87.16
G000012485	90.32
G000012505	90.36
G000012525	88.87
G000012545	84.32
